,WORD,WORD_ID,PART,TRIAL,TRIAL_FIXATION_COUNT,TRIAL_TOTAL_READING_TIME,WORD_ID_WITHIN_TRIAL,WORD_AVERAGE_FIX_PUPIL_SIZE,WORD_FIXATION_COUNT,WORD_FIXATION_%,WORD_RUN_COUNT,WORD_FIRST_RUN_START_TIME,WORD_FIRST_RUN_END_TIME,WORD_FIRST_RUN_FIXATION_COUNT,WORD_FIRST_RUN_FIXATION_%,WORD_GAZE_DURATION,WORD_SECOND_RUN_START_TIME,WORD_SECOND_RUN_END_TIME,WORD_SECOND_RUN_FIXATION_COUNT,WORD_SECOND_RUN_FIXATION_%,WORD_THIRD_RUN_START_TIME,WORD_THIRD_RUN_END_TIME,WORD_THIRD_RUN_FIXATION_COUNT,WORD_THIRD_RUN_FIXATION_%,WORD_FIRST_FIXATION_DURATION,WORD_FIRST_FIXATION_INDEX,WORD_FIRST_FIXATION_RUN_INDEX,WORD_FIRST_FIXATION_TIME,WORD_FIRST_FIXATION_VISITED_WORD_COUNT,WORD_FIRST_FIXATION_X,WORD_FIRST_FIXATION_Y,WORD_FIRST_FIX_PROGRESSIVE,WORD_SECOND_FIXATION_DURATION,WORD_SECOND_FIXATION_RUN,WORD_SECOND_FIXATION_TIME,WORD_SECOND_FIXATION_X,WORD_SECOND_FIXATION_Y,WORD_THIRD_FIXATION_DURATION,WORD_THIRD_FIXATION_RUN,WORD_THIRD_FIXATION_TIME,WORD_THIRD_FIXATION_X,WORD_THIRD_FIXATION_Y,WORD_LAST_FIXATION_DURATION,WORD_LAST_FIXATION_RUN,WORD_LAST_FIXATION_TIME,WORD_LAST_FIXATION_X,WORD_LAST_FIXATION_Y,WORD_GO_PAST_TIME,WORD_SELECTIVE_GO_PAST_TIME,WORD_TOTAL_READING_TIME,WORD_TOTAL_READING_TIME_%,WORD_SPILLOVER,WORD_SKIP
70,down,1-5-71,1.0,5.0,87.57142857142857,18165.214285714286,71.0,1378.607142857143,0.7857142857142857,0.009178571428571428,0.7142857142857143,11468.857142857143,11612.642857142857,0.7142857142857143,0.008242857142857144,142.35714285714286,1172.7142857142858,1190.5714285714287,0.07142857142857142,0.0009428571428571429,0.0,0.0,0.0,0.0,124.42857142857143,47.357142857142854,40.214285714285715,11468.857142857143,30.857142857142858,149.8571428571429,280.51428571428573,0.6428571428571429,35.785714285714285,0.21428571428571427,2406.0714285714284,35.58571428571428,64.99285714285715,0.0,0.0,0.0,0.0,0.0,150.07142857142858,0.7142857142857143,11761.714285714286,153.45714285714286,283.9214285714286,386.7142857142857,142.35714285714286,160.21428571428572,0.009107142857142857,11.5,0.35714285714285715
118,up,1-6-37,1.0,6.0,86.78571428571429,18848.928571428572,37.0,909.3571428571429,0.5,0.005221428571428571,0.5,5285.071428571428,5376.642857142857,0.42857142857142855,0.0046,91.57142857142857,1184.0714285714287,1198.5714285714287,0.07142857142857142,0.0006214285714285714,0.0,0.0,0.0,0.0,91.57142857142857,20.857142857142858,16.5,5285.071428571428,12.428571428571429,254.08571428571426,105.45,0.14285714285714285,14.5,0.14285714285714285,1184.0714285714287,41.464285714285715,16.764285714285712,0.0,0.0,0.0,0.0,0.0,85.57142857142857,0.5,5322.214285714285,252.92857142857142,105.41428571428571,104.71428571428571,91.57142857142857,106.07142857142857,0.00495,0.0,0.8571428571428571
127,across,1-6-46,1.0,6.0,86.78571428571429,18848.928571428572,46.0,2171.8214285714284,1.5714285714285714,0.019328571428571428,1.1428571428571428,12555.785714285714,12849.5,1.4285714285714286,0.017907142857142854,284.07142857142856,2350.1428571428573,2386.6428571428573,0.14285714285714285,0.0014285714285714286,0.0,0.0,0.0,0.0,219.21428571428572,48.785714285714285,40.714285714285715,12555.785714285714,30.785714285714285,131.13571428571427,304.5857142857143,0.5,101.35714285714286,0.7142857142857143,7042.928571428572,74.24285714285715,178.79285714285717,0.0,0.0,0.0,0.0,0.0,203.07142857142858,1.1428571428571428,13054.357142857143,130.14285714285714,312.0214285714286,526.4285714285714,284.07142857142856,320.57142857142856,0.01788571428571429,50.142857142857146,0.5
459,down,1-10-42,1.0,10.0,52.642857142857146,11714.714285714286,42.0,645.0714285714286,0.35714285714285715,0.006321428571428571,0.35714285714285715,4273.5,4352.142857142857,0.35714285714285715,0.006321428571428571,78.64285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.64285714285714,17.285714285714285,14.142857142857142,4273.5,10.357142857142858,67.19285714285714,110.57142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.64285714285714,0.35714285714285715,4273.5,67.19285714285714,110.57142857142857,108.14285714285714,78.64285714285714,78.64285714285714,0.006314285714285714,0.0,0.7142857142857143
632,up,1-13-6,1.0,13.0,75.71428571428571,15599.5,6.0,1253.4285714285713,0.6428571428571429,0.007892857142857142,0.6428571428571429,884.0,1012.5714285714286,0.6428571428571429,0.007892857142857142,128.57142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.57142857142858,4.285714285714286,3.5714285714285716,884.0,2.5714285714285716,241.21428571428572,70.24285714285713,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.57142857142858,0.6428571428571429,884.0,241.21428571428572,70.24285714285713,151.14285714285714,128.57142857142858,128.57142857142858,0.0074428571428571426,24.5,0.6428571428571429
792,about,1-15-7,1.0,15.0,73.64285714285714,15301.357142857143,7.0,1964.6785714285713,1.1428571428571428,0.015642857142857146,1.0,1928.5,2238.0,1.1428571428571428,0.015642857142857146,306.85714285714283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.7142857142857,8.285714285714286,6.285714285714286,1928.5,5.142857142857143,542.8285714285714,118.77142857142857,0.6428571428571429,17.142857142857142,0.14285714285714285,337.2142857142857,75.39285714285714,16.87857142857143,0.0,0.0,0.0,0.0,0.0,269.14285714285717,1.0,1968.857142857143,539.9428571428572,118.82142857142857,327.7857142857143,306.85714285714283,306.85714285714283,0.02000714285714286,61.642857142857146,0.35714285714285715
944,in,1-16-86,1.0,16.0,101.35714285714286,21210.071428571428,86.0,684.7142857142857,0.5714285714285714,0.006014285714285715,0.5,10290.642857142857,10402.214285714286,0.5714285714285714,0.006014285714285715,110.35714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.28571428571429,38.92857142857143,33.5,10290.642857142857,26.142857142857142,331.65,220.93571428571425,0.21428571428571427,11.071428571428571,0.07142857142857142,1816.357142857143,46.44285714285714,32.871428571428574,0.0,0.0,0.0,0.0,0.0,92.35714285714286,0.5,10309.857142857143,329.87857142857143,220.7785714285714,116.14285714285714,110.35714285714286,110.35714285714286,0.005271428571428572,0.0,0.7857142857142857
1052,up,1-17-84,1.0,17.0,82.35714285714286,17045.0,84.0,357.57142857142856,0.2857142857142857,0.004092857142857143,0.2857142857142857,4766.785714285715,4846.857142857143,0.2857142857142857,0.004092857142857143,80.07142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.07142857142857,17.785714285714285,16.214285714285715,4766.785714285715,14.285714285714286,140.1,128.8,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.07142857142857,0.2857142857142857,4766.785714285715,140.1,128.8,91.64285714285714,80.07142857142857,80.07142857142857,0.004678571428571429,41.285714285714285,0.7857142857142857
1302,up,1-20-44,1.0,20.0,75.14285714285714,15791.07142857143,44.0,855.0714285714286,0.42857142857142855,0.0060999999999999995,0.42857142857142855,4645.5,4738.642857142857,0.42857142857142855,0.0060999999999999995,93.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.14285714285714,18.928571428571427,16.428571428571427,4645.5,13.071428571428571,73.6,131.00714285714284,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.14285714285714,0.42857142857142855,4645.5,73.6,131.00714285714284,395.2857142857143,93.14285714285714,93.14285714285714,0.006014285714285714,43.785714285714285,0.5714285714285714
1307,on,1-20-49,1.0,20.0,75.14285714285714,15791.07142857143,49.0,615.7857142857143,0.35714285714285715,0.004528571428571429,0.2857142857142857,4236.428571428572,4335.714285714285,0.35714285714285715,0.004528571428571429,98.07142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.78571428571429,17.142857142857142,14.857142857142858,4236.428571428572,9.928571428571429,118.6,92.19285714285715,0.21428571428571427,15.285714285714286,0.07142857142857142,999.8571428571429,28.692857142857143,22.978571428571428,0.0,0.0,0.0,0.0,0.0,78.21428571428571,0.2857142857142857,4257.5,117.01428571428572,92.27857142857142,102.71428571428571,98.07142857142857,98.07142857142857,0.005757142857142857,18.714285714285715,0.7857142857142857
1333,off,1-21-6,1.0,21.0,61.214285714285715,12775.0,6.0,1402.5714285714287,0.6428571428571429,0.010035714285714287,0.6428571428571429,817.2142857142857,1000.0,0.6428571428571429,0.010035714285714287,182.78571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.78571428571428,4.142857142857143,3.5,817.2142857142857,2.5,291.24285714285713,72.27857142857142,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.78571428571428,0.6428571428571429,817.2142857142857,291.24285714285713,72.27857142857142,224.14285714285714,182.78571428571428,182.78571428571428,0.013521428571428571,54.5,0.42857142857142855
1460,into,1-22-67,1.0,22.0,69.78571428571429,15077.0,67.0,1032.0,0.5714285714285714,0.007664285714285713,0.5,8504.214285714286,8614.142857142857,0.5714285714285714,0.007664285714285713,108.21428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.71428571428571,34.92857142857143,28.571428571428573,8504.214285714286,23.571428571428573,174.07857142857142,225.47142857142856,0.5,8.5,0.07142857142857142,1185.5,22.857142857142858,31.535714285714285,0.0,0.0,0.0,0.0,0.0,97.35714285714286,0.5,8516.785714285714,172.35714285714286,225.17142857142858,136.21428571428572,108.21428571428571,108.21428571428571,0.007342857142857143,14.285714285714286,0.5
1486,into,1-23-19,1.0,23.0,98.64285714285714,20696.928571428572,19.0,1756.702142857143,1.0714285714285714,0.010957142857142856,1.0,3142.6428571428573,3298.6428571428573,0.8571428571428571,0.008914285714285713,154.0,987.5,1035.4285714285713,0.21428571428571427,0.002021428571428571,0.0,0.0,0.0,0.0,137.28571428571428,13.5,12.142857142857142,3142.6428571428573,9.5,127.94285714285714,135.71428571428572,0.5,47.714285714285715,0.35714285714285715,952.1428571428571,36.79285714285714,37.971428571428575,16.928571428571427,0.14285714285714285,375.64285714285717,11.65,12.292857142857143,158.64285714285714,1.0,3272.714285714286,128.32142857142856,137.05714285714285,287.5,195.0,201.92857142857142,0.010085714285714285,7.571428571428571,0.5
